계좌명,종목명,종목코드,보유수량,매수평단,약식종목명,계좌카테고리,자산군
연금저축(키움),입금원금,SEED,1,12000000,입금원금,세액공제 O,-
연금저축(키움),TIGER 미국나스닥100,133690,10,158097,나스닥100,세액공제 O,나스닥100
연금저축(키움),TIGER 미국나스닥100(H) ,448300,0,0,나스닥100(H),세액공제 O,나스닥100
연금저축(키움),TIGER 미국S&P500,360750,220,24697,S&P500,세액공제 O,S&P500
연금저축(키움),TIGER 미국S&P500(H) ,448290,0,0,S&P500(H),세액공제 O,S&P500
연금저축(키움),ACE KRX금현물,411060,60,30241,금,세액공제 O,금
연금저축(키움),현금,CASH,3461308,1,현금,세액공제 O,현금
IRP(미래),입금원금,SEED,1,6000000,입금원금,세액공제 O,-
IRP(미래),TIGER 미국나스닥100,133690,0,0,나스닥100,세액공제 O,나스닥100
IRP(미래),TIGER 미국나스닥100(H) ,448300,0,0,나스닥100(H),세액공제 O,나스닥100
IRP(미래),TIGER 미국S&P500,360750,0,0,S&P500,세액공제 O,S&P500
IRP(미래),TIGER 미국S&P500(H) ,448290,0,0,S&P500(H),세액공제 O,S&P500
IRP(미래),ACE KRX금현물,411060,20,30610,금,세액공제 O,금
IRP(미래),TIGER 미국채10년선물,305080,0,0,미국채,세액공제 O,미국채
IRP(미래),KODEX KOFR금리액티브,423160,0,0,한국금리,세액공제 O,금리
IRP(미래),KODEX TDF2060액티브,0082V0,150,11020,TDF60,세액공제 O,TDF
IRP(미래),현금,CASH,4374440,1,현금,세액공제 O,현금
연금저축(미래),입금원금,SEED,1,9000000,입금원금,세액공제 X,-
연금저축(미래),TIGER 미국나스닥100,133690,10,158140,나스닥100,세액공제 X,나스닥100
연금저축(미래),TIGER 미국나스닥100(H) ,448300,0,0,나스닥100(H),세액공제 X,나스닥100
연금저축(미래),TIGER 미국S&P500,360750,120,24480,S&P500,세액공제 X,S&P500
연금저축(미래),TIGER 미국S&P500(H) ,448290,0,0,S&P500(H),세액공제 X,S&P500
연금저축(미래),ACE KRX금현물,411060,15,32530,금,세액공제 X,금
연금저축(미래),현금,CASH,3992870,1,현금,세액공제 X,현금
경성IRP(삼성),입금원금,SEED,1,9782240,입금원금,세액공제 X,-
경성IRP(삼성),TIGER 미국나스닥100,133690,0,0,나스닥100,세액공제 X,나스닥100
경성IRP(삼성),TIGER 미국나스닥100(H) ,448300,0,0,나스닥100(H),세액공제 X,나스닥100
경성IRP(삼성),TIGER 미국S&P500,360750,50,24420,S&P500,세액공제 X,S&P500
경성IRP(삼성),TIGER 미국S&P500(H) ,448290,20,15500,S&P500(H),세액공제 X,S&P500
경성IRP(삼성),ACE KRX금현물,411060,45,33417,금,세액공제 X,금
경성IRP(삼성),TIGER 미국채10년선물,305080,0,0,미국채,세액공제 X,미국채
경성IRP(삼성),KODEX KOFR금리액티브,423160,0,0,한국금리,세액공제 X,금리
경성IRP(삼성),현금,CASH,7082230,1,현금,세액공제 X,현금
중개형ISA(키움),입금원금,SEED,1,4000000,입금원금,ISA,-
중개형ISA(키움),TIGER 미국S&P500,360750,40,24422,S&P500,ISA,S&P500
중개형ISA(키움),TIGER 미국S&P500(H) ,448290,1,15495,S&P500(H),ISA,S&P500
중개형ISA(키움),TIGER 미국배당다우존스,458730,105,14416,다우존스,ISA,다우존스
중개형ISA(키움),SOL 미국배당다우존스(H),452360,1,12060,다우존스(H),ISA,다우존스
중개형ISA(키움),현금,CASH,1664016,1,현금,ISA,현금
